Name,TotalTime,RecipeCategory,Keywords,RecipeIngredientParts,RecipeInstructions,Calories
Fresh Vegetable Lumpia,PT1H,Filipino,"c(""Asian"", ""< 60 Mins"", ""For Large Groups"")","c(""annatto seeds"", ""ground annatto seed"", ""garlic cloves"", ""tofu"", ""salt"", ""water"", ""carrot"", ""onion"", ""pork"", ""shrimp"", ""lumpia skins"", ""potato"", ""cabbage"", ""string beans"", ""garbanzo beans"", ""fish sauce"", ""lettuce leaves"", ""sugar"", ""cornstarch"", ""soy sauce"", ""water"", ""garlic"")","c(""Lumpia Sauce: Cook ahead before making the lumpia and set aside."", ""Mix all ingredients except cornstarch."", ""Boil."", ""Dispense cornstarch in water and add to the boiling mixture."", ""Reduce heat and stir to prevent lumps."", ""Serve with Fresh Lumpia."", ""Freshly crushed garlic may be served mix with the sauce."", ""Fresh Lumpia: Soak annatto seed in vegetable oil."", ""Saute garlic in oil until brown."", ""Add onions, pork and shrimps."", ""Pour water or soup stock and cover."", ""Cook over moderate heat until pork is tender."", 
""Add potatoes and other vegetables and cook for 5 minutes."", ""Strain annatto seed from the oil and add the oil to the vegetable mixture."", ""Season with fish sauce."", ""Cook until all vegetables are crisp and tender (dont overcook vegetables)."", ""Cool and drain in a colander."", ""When cool, place 1 lettuce leaf on top of each lumpia wrapper."", ""Add the vegetable mixture and wrap with lettuce showing at the end."", ""Serve with Lumpia sauce."")",186.9
Meatloaf Manila Style,PT2H,Meat,"c(""Filipino"", ""Asian"", ""Potluck"", ""Weeknight"", ""< 4 Hours"")","c(""lean ground beef"", ""beef bouillon granules"", ""ham"", ""ground pork"", ""cheddar cheese"", ""egg"", ""salt"", ""pepper"", ""ground cayenne pepper"", ""hard-boiled eggs"", ""tomato sauce"", ""soy sauce"", ""lime juice"", ""onion"")","c(""Preheat oven to 350 degrees F."", ""Mix together beef, beef bouillon, and bread crumbs."", ""For the filling: combine the ham, pork, cheese, pickle, raw egg, salt, dash of pepper, and cayenne pepper."", ""Grease a loaf pan well."", ""Make a layer of half of the beef mixture and cover with half of the filling."", ""Press hard boiled eggs half-way into meat."", ""Cover with remaining filling and the rest of the beef mixture."", ""Tap pan lightly to loosen meatloaf and invert over greased shallow baking dish."", 
""In a small bowl, combine the tomato sauce with soy sauce and lime juice, add onions, and a pinch of salt and pepper to taste."", ""Pour into the baking dish with the meatloaf."", ""Bake for 1 1/2 hours at 350 degrees F, basting occasionally and adding a bit of water to the sauce, if necessary, to avoid drying up."")",620.5
Bibingkang Malagkit,PT35M,Dessert,"c(""Filipino"", ""Asian"", ""Low Protein"", ""< 60 Mins"", ""Oven"")","c(""glutinous rice"", ""coconut milk"", ""salt"", ""brown sugar"", ""coconut cream"", ""sugar"", ""butter"")","c(""Boil coconut milk and rice with salt."", ""Boil until quite dry."", ""Lower heat and add brown sugar."", ""Melt butter and brush bottom of baking pan."", ""Pour rice mixture in pan."", ""Pour coconut cream and sugar on top."", ""Bake for 15 minutes or until golden on top."")",459
Corn Maja,PT10M,Dessert,"c(""Corn"", ""Vegetable"", ""Filipino"", ""Asian"", ""< 15 Mins"", ""Easy"")","c(""corn"", ""coconut milk"", ""sugar"", ""coconut"")","c(""Toast coconut in a skillet over medium heat until light brown."", ""Combine all ingredients and pass through a strainer."", ""Cook over low fire, constantly stirring until thick."", ""Pour into 1 ½-quart casserole and let cool."", ""Serve with toasted sweetened shredded coconut."")",668
Espasol,PT0S,Dessert,"c(""Filipino"", ""Asian"", ""Healthy"", ""< 15 Mins"", ""Easy"")","c(""sugar"", ""coconut milk"")","c(""Place sugar and coconut milk in a saucepan and boil until thick."", ""Add toasted shredded coconut and cook for 3 minutes."", ""Stir in toasted rice flour well and cook until thick."", ""Remove from pan and divide into 2 parts."", ""Roll using the rest of the rice flour for rolling."", ""Slice into ½ inch thick pieces."")",177
Palitaw,PT15M,Dessert,"c(""Filipino"", ""Asian"", ""< 15 Mins"", ""Easy"")","c(""water"", ""coconut"", ""sugar"", ""water"")","c(""Mix rice flour and ½ cup water well."", ""Form into small balls and flatten with fingers to form into ovals."", ""Boil 1 ½-quart in a pot."", ""Drop in boiling water 2 at a time."", ""Skim when they float and drop in cold water."", ""Drain and roll in mixed grated coconut and sugar."", ""Serve right away."")",1246
Pastillas De Mani,PT30M,Dessert,"c(""Fruit"", ""Nuts"", ""Filipino"", ""Asian"", ""High In..."", ""< 30 Mins"", ""Easy"")","c(""unsalted peanuts"", ""butter"")","c(""Combine all ingredients and cook in a saucepan over medium heat, stirring often until paste-like in consistency."", ""Then transfer into buttered pan and spread to ½ inch thick."", ""Let cool and cut into pieces."", ""Cut wax paper and place pieces on individual paper and wrap."")",2602.3
Baked Rice Custard,PT1H40M,Dessert,"c(""Rice"", ""Filipino"", ""Asian"", ""Healthy"", ""Weeknight"", ""< 4 Hours"", ""Easy"")","c(""eggs"", ""sugar"", ""salt"", ""milk"", ""cooked rice"", ""raisins"", ""vanilla extract"", ""ground cinnamon"", ""butter"")","c(""Combine eggs, sugar and salt."", ""Stir in hot milk slowly."", ""Add cooked rice, raisins and vanilla."", ""Pour into buttered 1 ½-quart baking dish."", ""Set in pan of hot water."", ""Bake for 30 minutes in 325 degree oven then stir."", ""Sprinkle with cinnamon and dot with butter."", ""Continue baking for 60-70 minutes or until set."")",173.2
Gateau Sans Rival,PT3H,Dessert,"c(""Filipino"", ""Asian"", ""Weeknight"", ""For Large Groups"", ""< 4 Hours"")","c(""granulated sugar"", ""cashew nuts"", ""granulated sugar"", ""water"", ""butter"")","c(""Separate egg yolks from egg whites."", ""Beat egg whites until stiff and foamy."", ""Add finely chopped nuts and mix well."", ""Line baking sheets with wax paper."", ""Pour egg white mixture onto 7 to 8 baking sheets."", ""Bake at 350 degrees for 25 to 30 minutes or until golden brown."", ""Remove wax paper lining at once, but with extra care not to break baked egg whites as they are fragile."", ""Set aside temporarily."", ""Beat egg yolk well until lemon-colored."", ""Make syrup out of 2 cups of sugar and one cup of water."", 
""Boil until thick enough to form a soft ball when dropped in small bowl full of cold water."", ""Add syrup to well beaten egg yolks, a little at a time making sure it blends well with mixture."", ""Set aside to cool."", ""Cream butter and add cooled egg yolk mixture."", ""Spread cream mixture on each layer of the baked egg whites."", ""Arrange the 7 to 8 layers of baked egg whites on top of each other."", ""Cover top and sides of trimmed <U+0093>SANS RIVAL<U+0094> with the remaining cream mixture."", ""Garnish with chopped nuts."", 
""Chill and serve cold."")",594.2
Spicy Dilis (Anchovy),PT10M,Lunch/Snacks,"c(""Filipino"", ""Asian"", ""< 15 Mins"", ""Easy"")","c(""egg"", ""brown sugar"", ""red pepper flakes"", ""cornstarch"")","c(""Beat eggs until fluffy, the add sugar, salt and pepper."", ""Blend in cornstarch and beat until smooth."", ""Pour mixture over anchovies and stir until completely coated."", ""Deep-fry until crisp and golden brown."", ""Cool before serving."")",265.2
Ukoy (Shrimp Patty),PT35M,Papaya,"c(""Tropical Fruits"", ""Fruit"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""Easy"")","c(""all-purpose flour"", ""cornstarch"", ""baking powder"", ""salt"", ""pepper"", ""water"", ""egg"", ""bean sprouts"", ""green onion"", ""tofu"", ""small shrimp"", ""papaya"")","c(""Sift the first five batter ingredients together in a bowl."", ""Blend in the annatto water, broth and egg."", ""Beat until smooth."", ""Heat oil in high heat for deep-frying."", ""Set aside."", ""Arrange a bed of bean sprouts and green papaya in a saucer."", ""Top with some green onion, tofu strips and shrimps."", ""Add about 1/3 cup of batter."", ""Slide the mixture carefully into the hot oil."", ""Fry until crisp and brown on both sides."", ""Drain."", ""Serve with a mixture of vinegar and crushed garlic for dipping seasoned with salt and pepper.""
)",259.8
Coconut Cream Pudding,PT1H5M,Dessert,"c(""Coconut"", ""Fruit"", ""Nuts"", ""Filipino"", ""Asian"", ""Weeknight"", ""< 4 Hours"", ""Easy"")","c(""butter"", ""sugar"", ""flour"", ""ground cinnamon"", ""coconut cream"")","c(""Preheat oven to 350 degrees F."", ""Cream the butter and gradually beat in the sugar."", ""Mix in the flour and cinnamon."", ""Add 1 egg yolk at a time, beating each addition and until light and fluffy."", ""Gradually Add the coconut cream."", ""Fold in egg whites."", ""Divide among 8 buttered custard cups."", ""Set in a shallow pan of hot water."", ""Bake 45 minutes or until set."", ""Chill and turn out."")",265.2
Tocino Del Cielo,PT40M,Dessert,"c(""Filipino"", ""Asian"", ""Healthy"", ""< 60 Mins"", ""Easy"")","c(""sugar"", ""water"")","c(""Boil sugar and water until syrup forms small ball when dropped in water."", ""Beat egg yolks, add the syrup after cooling it then blend well and strain."", ""Line a pan or small molds with thick caramel syrup."", ""Fill ¾ full with mixture and steam until toothpick inserted comes out clean."", ""Allow to cool before unmolding."", ""NOTE: Tocino Del Cielo is often baked in small individual molds and placed in small soufflé cups for serving."")",1081.9
Lenguas De Gato (Cat's Tongue),PT20M,Dessert,"c(""Cookie & Brownie"", ""Filipino"", ""Asian"", ""< 30 Mins"", ""Easy"")","c(""butter"", ""margarine"", ""sugar"", ""flour"", ""vanilla"", ""salt"")","c(""Cream the butter and sugar."", ""Add egg whites gradually, beating well after each addition."", ""Add the salt and vanilla."", ""Add flour gradually and mix well."", ""Using a cake decorating tube, form dough into oblong, tonguelike shapes."", ""Bake in 375 degrees for 10 minutes or until golden brown."", ""Remove and let cool."", ""Store in airtight jars or store in freezer."")",55
Creamy Coffee Gelatin,PT25M,Gelatin,"c(""Dessert"", ""Filipino"", ""Asian"", ""< 30 Mins"", ""Easy"")","c(""unflavored gelatin"", ""evaporated milk"", ""sugar"", ""eggs"", ""vanilla"", ""instant coffee"")","c(""Dissolve gelatin in hot coffee."", ""Beat egg yolk."", ""Add half of the sugar in dissolved gelatin and milk."", ""Beat egg whites."", ""Add the remaining sugar and continue beating until stiff."", ""Set aside."", ""Cook egg yolk mixture over low heat."", ""Cool slightly."", ""Fold in egg whites mixture."", ""Pour into molder."", ""Chill before serving."")",170.5
A Different Way to Make Chicken & Rice,PT1H30M,One Dish Meal,"c(""Chicken Breast"", ""Chicken"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""Weeknight"", ""< 4 Hours"", ""Inexpensive"")","c(""boneless chicken breast"", ""chicken liver"", ""tomato sauce"", ""cooked rice"", ""rice"", ""red bell pepper"", ""onion"", ""cheese"", ""soy sauce"", ""pepper"")","c(""Marinate chicken meat and livers for 30 minutes."", ""Sauté onions, chicken meat and livers."", ""Cook for 5 minutes and season with salt and pepper."", ""Add tomato sauce and simmer for 5 minutes."", ""Set aside."", ""Heat 4 tbsp margarine over moderate flame."", ""Add cooked rice and stir with wooden spoon."", ""Pour stock and cook for 15 minutes stirring occasionally to prevent sticking."", ""Add sautéed chicken mixture, cheese and bell peppers."", ""Mix thoroughly."", ""Serve hot."")",280.2
Mango Cream Cake,PT6H,Dessert,"c(""Fruit"", ""Filipino"", ""Asian"", ""Weeknight"", ""Easy"")","c(""butter"", ""sugar"", ""powdered milk"", ""mangoes"", ""ladyfingers"", ""maraschino cherry"")","c(""Blend the first 5 ingredients (except mango slices) to make mango cream mixture."", ""Lay ladyfingers on a 9x9 inch dish or pan."", ""Top with mango cream mixture."", ""Lay second layers of ladyfingers."", ""Repeat process."", ""Garnish with mango slices and cherries."", ""Refrigerate for 5-6 hours or overnight to set."")",550.2
Fiesta Lengua (Tongue),PT2H,Beef Organ Meats,"c(""Pork"", ""Meat"", ""Filipino"", ""Asian"", ""Weeknight"", ""< 4 Hours"")","c(""tomato sauce"", ""catsup"", ""vinegar"", ""potatoes"", ""onion"", ""red bell pepper"", ""brown sugar"", ""bay leaf"", ""margarine"", ""lime juice"", ""soy sauce"")","c(""Clean and wash tongues thoroughly."", ""Blanch in boiling water."", ""Scrape skin with the back of a knife."", ""Boil in water and vinegar for 15 minutes."", ""Discard liquid."", ""Add water just enough to cover and boil to remove vinegar odor."", ""Add salt and bay leaf and cook until tender."", ""Remove tongues and reserve stock."", ""Slice into serving portions."", ""Marinate for 30 minutes."", ""Reserve marinade."", ""Heat oil or margarine in a medium pot."", ""Add onions, mushrooms and tongue and sauté about 2 minutes."", 
""Add tomato sauce, catsup, marinade and tongue stock."", ""Season with salt and pepper to taste."", ""Simmer for 10 minutes."", ""Add potatoes and red pepper."", ""Stir and cook for 2 minutes."")",721.3
Budget Easy Spareribs,PT1H10M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""Weeknight"", ""< 4 Hours"", ""Easy"", ""Inexpensive"")","c(""water"", ""salt"", ""pepper"", ""soy sauce"", ""raspberry gelatin powder"", ""catsup"", ""chili sauce"", ""vinegar"", ""garlic"", ""salt"", ""soy sauce"", ""water"", ""cornstarch"", ""water"")","c(""Marinade spareribs for 30 minutes."", ""Simmer spareribs in marinade with 1 cup water until tender."", ""Reserve remaining marinade in cooking pan."", ""Heat oil in a skillet and brown meat."", ""Set aside."", ""Dissolve raspberry gelatin in 1 cup boiling water."", ""Stir in remaining ingredients."", ""Thicken sauce with dissolved cornstarch."", ""Add spareribs and leftover marinade."", ""Simmer for 5 minutes."", ""Serve hot."")",891.4
Embutido,PT5H30M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""Weeknight"", ""Steam"")","c(""ground pork"", ""eggs"", ""onion"", ""red bell pepper"", ""tomato sauce"", ""salt"", ""pepper"", ""soy sauce"", ""celery"", ""powdered milk"")","c(""Combine all ingredients in a bowl."", ""Mix thoroughly."", ""Roll mixture in foil and steam for 1 hour."", ""Let cool."", ""Chill for 4 hours or overnight."", ""Slice diagonally."")",400.5
Chicken Adobo Aloha,PT1H30M,Chicken,"c(""Pineapple"", ""Poultry"", ""Tropical Fruits"", ""Fruit"", ""Meat"", ""Filipino"", ""Asian"", ""Weeknight"", ""< 4 Hours"", ""Easy"")","c(""chicken"", ""pineapple tidbits"", ""water"", ""garlic"", ""garlic"", ""vinegar"", ""salt"", ""soy sauce"", ""peppercorn"")","c(""Marinate chicken meat for 1 hour."", ""In a medium pot, simmer meat in marinade for about 5 minutes."", ""Remove."", ""Heat oil in a skillet and cook chicken until golden brown."", ""Return to marinade and simmer until chicken is tender."", ""Add pineapple tidbits."", ""Top with browned garlic."")",422.9
Golden Banana Rolls,PT35M,Dessert,"c(""Pineapple"", ""Tropical Fruits"", ""Fruit"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""Easy"")","c(""bananas"", ""pineapple tidbits"", ""brown sugar"", ""margarine"", ""water"")","c(""Peel and slice bananas into four lengthwise."", ""Wrap bananas in eggroll wrapper and fry until golden brown."", ""Set aside."", ""Boil sugar and water for 20 minutes or until thick."", ""Add pineapple tidbits."", ""Simmer until mixture thickens."", ""Add margarine."", ""Stir to melt."", ""Pour on fried bananas."", ""Serve immediately."")",138.2
Pork Chops Royale,PT2H,Pineapple,"c(""Pork"", ""Tropical Fruits"", ""Fruit"", ""Meat"", ""Filipino"", ""Asian"", ""Weeknight"", ""< 4 Hours"")","c(""catsup"", ""garlic"", ""onion"", ""salt"", ""water"", ""pineapple"", ""string bean"", ""soy sauce"", ""pepper"", ""brown sugar"")","c(""Marinate pork chops for 1 hour."", ""Grill and brush with oil until brown; set aside."", ""Sauté garlic and onion in a skillet."", ""Pour water, salt and catsup."", ""Add pork chops."", ""Simmer for 30 minutes or until tender."", ""Remove pork chops from skillet."", ""Add and stir fry string beans in the same skillet."", ""Add 3 tbsp water and cook until tender; set aside."", ""Garnish each pork chops with 1 sliced pineapple."", ""Place string beans on the side."", ""Pour sauce over meat and string beans."")",76.7
